CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Cuiabá,MT,1,1263,191,universidade federal de mato grosso,534,0,1,5,0,3,5,10,0,1,0,15,0,0,3,17,0,22,344,10,0,16,2,9,0,0,0,0,4,0,67,0,0,0,0
2,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,1,2550,224,universidade de brasilia,1684,5,3,17,2,17,22,0,0,13,0,48,0,4,23,201,0,162,575,90,0,41,6,19,1,0,0,0,20,10,405,0,0,0,0
3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,1,1456,210,universidade federal de sergipe,534,2,1,2,0,8,8,0,0,10,0,11,0,0,4,15,0,23,299,15,0,41,0,4,0,0,0,0,5,1,84,0,0,0,1
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,1,1217,537,universidade federal do amazonas,404,0,0,4,0,1,2,0,0,4,0,12,0,2,2,10,0,12,262,5,0,28,0,2,0,0,0,0,4,0,54,0,0,0,0
5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,1,1142,250,universidade federal do piaui,496,0,0,5,0,7,6,8,0,3,0,5,0,1,1,8,0,16,265,50,0,29,3,5,0,0,0,0,2,1,72,0,9,0,0
6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Ouro Preto,MG,1,769,76,universidade federal de ouro preto,396,10,1,4,0,3,2,0,0,9,0,7,0,1,3,12,0,7,193,9,0,36,0,4,0,0,0,0,4,0,90,0,1,0,0
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,São Carlos,SP,1,1282,52,universidade federal de sao carlos,1016,0,3,5,0,23,2,0,0,6,0,18,0,0,2,161,0,104,362,48,0,54,1,31,0,0,0,1,37,3,149,0,5,0,1
8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,1,1153,118,universidade federal de vicosa,1313,1,4,6,0,18,21,0,0,6,0,12,0,0,16,214,0,146,448,53,0,28,10,23,0,0,0,0,44,2,258,0,3,0,0
9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,2,1311,282,universidade estadual de londrina,647,0,0,3,0,12,2,0,0,13,0,3,0,0,5,29,0,37,328,60,2,38,0,0,0,0,0,0,8,0,106,0,1,0,0
10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Curitiba,PR,5,781,504,pontificia universidade catolica do parana,378,1,3,4,0,10,0,0,0,7,3,4,0,0,0,25,0,10,116,47,1,48,3,12,0,0,0,0,1,1,79,0,3,0,0
